fare_id,route_id,origin_id,destination_id,contains_id
200,10032,6042_1,6181_1,
200,10032,6042_1,6200_1,
200,10032,6042_1,6206_1,
200,10032,6042_1,6246_1,
200,10032,6042_2,6031_2,
200,10032,6042_2,6039_1,
200,10032,6064_1,6094_2,
200,10032,6064_1,6240_2,
200,10032,6064_1,6244_2,
200,10032,6064_1,6255_2,
200,10032,6064_1,6256_2,
200,10032,6064_1,6257_2,
200,10032,6064_2,6242_2,
200,10032,6064_2,94_2,
200,10032,6064_2,94_4,
200,10032,6094_1,6064_2,
200,10032,6094_1,6242_2,
200,10032,6094_1,6255_1,
200,10032,6094_1,6256_1,
200,10032,6094_1,94_2,
200,10032,6094_1,94_4,
200,10032,6094_2,6181_2,
200,10032,6094_2,6225_2,
200,10032,6094_2,6240_2,
200,10032,6094_2,6244_2,
200,10032,6094_2,6257_2,
200,10032,6094_2,6258_2,
200,10032,6176_1,6181_1,
200,10032,6176_1,6206_1,
200,10032,6176_1,6225_1,
200,10032,6176_1,6240_1,
200,10032,6176_1,6246_1,
200,10032,6176_1,6257_1,
200,10032,6176_1,6258_1,
200,10032,6176_2,6031_2,
200,10032,6176_2,6039_1,
200,10032,6176_2,6042_2,
200,10032,6176_2,6200_3,
200,10032,6181_1,6094_1,
200,10032,6181_1,6225_1,
200,10032,6181_1,6240_1,
200,10032,6181_1,6244_1,
200,10032,6181_1,6255_1,
200,10032,6181_1,6256_1,
200,10032,6181_1,6257_1,
200,10032,6181_1,6258_1,
200,10032,6181_2,6031_2,
200,10032,6181_2,6039_1,
200,10032,6181_2,6042_2,
200,10032,6181_2,6176_2,
200,10032,6181_2,6200_3,
200,10032,6181_2,6206_2,
200,10032,6181_2,6246_2,
200,10032,6200_1,6176_1,
200,10032,6200_1,6181_1,
200,10032,6200_1,6206_1,
200,10032,6200_1,6246_1,
200,10032,6200_3,6031_2,
200,10032,6200_3,6039_1,
200,10032,6200_3,6042_2,
200,10032,6206_1,6181_1,
200,10032,6206_1,6225_1,
200,10032,6206_1,6240_1,
200,10032,6206_1,6246_1,
200,10032,6206_1,6257_1,
200,10032,6206_1,6258_1,
200,10032,6206_2,6031_2,
200,10032,6206_2,6039_1,
200,10032,6206_2,6042_2,
200,10032,6206_2,6176_2,
200,10032,6206_2,6200_3,
200,10032,6225_1,6094_1,
200,10032,6225_1,6240_1,
200,10032,6225_1,6244_1,
200,10032,6225_1,6255_1,
200,10032,6225_1,6256_1,
200,10032,6225_1,6257_1,
200,10032,6225_1,6258_1,
200,10032,6225_2,6176_2,
200,10032,6225_2,6181_2,
200,10032,6225_2,6206_2,
200,10032,6225_2,6246_2,
200,10032,6240_1,6064_2,
200,10032,6240_1,6094_1,
200,10032,6240_1,6242_2,
200,10032,6240_1,6244_1,
200,10032,6240_1,6255_1,
200,10032,6240_1,6256_1,
200,10032,6240_1,6257_1,
200,10032,6240_1,94_2,
200,10032,6240_1,94_4,
200,10032,6240_2,6176_2,
200,10032,6240_2,6181_2,
200,10032,6240_2,6206_2,
200,10032,6240_2,6225_2,
200,10032,6240_2,6246_2,
200,10032,6240_2,6258_2,
200,10032,6242_1,6064_1,
200,10032,6242_1,6094_2,
200,10032,6242_1,6240_2,
200,10032,6242_1,6244_2,
200,10032,6242_1,6255_2,
200,10032,6242_1,6256_2,
200,10032,6242_1,6257_2,
200,10032,6242_2,94_2,
200,10032,6242_2,94_4,
200,10032,6244_1,6064_2,
200,10032,6244_1,6094_1,
200,10032,6244_1,6242_2,
200,10032,6244_1,6255_1,
200,10032,6244_1,6256_1,
200,10032,6244_1,94_2,
200,10032,6244_1,94_4,
200,10032,6244_2,6181_2,
200,10032,6244_2,6225_2,
200,10032,6244_2,6240_2,
200,10032,6244_2,6257_2,
